country,year,domestic_equity_real,international_equity_real,international_equity_real_constant_real_fx,world_equity_real_resident_reconstructed,xrusd,world_equity_real,world_equity_source,bond_real,bill_real,world_bond_real,world_bond_real_fixed_notional,world_bill_real,world_bond_real_unhedged,world_bill_real_unhedged,world_bond_issuers,inflation,trend_real,trend_real_fixed_notional,trend_cash_us_real,trend_real_unhedged,gold_real
Australia,1927,0.10356371463310432,0.2516027497706401,0.2609486996651907,0.2501866375030293,0.41433834413409815,0.2476862642280233,"reconstructed, resident currency",0.03887701410364697,0.023143750333802116,0.057564818768362835,0.060705019400238314,0.023143750333802116,0.08574303778455339,0.04919940225718884,15,0.018518444444444393,0.2377913480130187,0.23904343657318394,0.06069651650102048,0.24383203512591622,-0.015361188083041988
Australia,1928,0.16639631263078547,0.30359420921581504,0.325347637846073,0.30268279043378543,0.4151414263418,0.3000774248529179,"reconstructed, resident currency",0.03544721987935029,0.0327025006928654,0.0636583175851313,0.0626930047161589,0.0327025006928654,0.058548550296138036,0.02834413626041466,15,0.009090982479344145,0.2926919742607419,0.2905181578183833,0.05045226040342521,0.2830796815723866,-0.01834291958664447
Australia,1929,-0.05300000309944153,-0.021308096123749398,-0.07314828298339984,-0.02151218042409775,0.4365832221661474,-0.023469156063249508,"reconstructed, resident currency",-0.01681390590965748,0.04343852028250694,0.06077714035499904,0.06466034920990849,0.04343852028250694,0.10961196762818015,0.09100466381263711,15,0.0,0.19072831999091377,0.19925912073609942,0.03785806464463959,0.2455316004890511,0.04569120242725977
Australia,1930,-0.23388235709246474,0.05325369517712231,-0.18460205966137194,0.051652540999167273,0.5307128194828947,0.04954923591716898,"reconstructed, resident currency",0.0399930928559864,0.13550662501331634,0.18368441334854313,0.20422136088107612,0.13550662501331634,0.408990947767341,0.34908866583225273,15,-0.08108108108108103,0.21107892259107208,0.25296651082093713,0.10740235214556271,0.525892432598642,0.36917799614589897
Australia,1931,0.22504091744654553,-0.30736566693208545,-0.2946065592207504,-0.30476426403673407,0.5523449889357013,-0.30615473550866057,"reconstructed, resident currency",0.08032224730167936,0.08538051690210313,0.021652277576456047,0.02244458231721036,0.08538051690210313,-0.029951221146224505,0.031042255214175526,15,-0.039215764705882394,0.28409417288652583,0.2953773049476338,0.15094084355712933,0.34251746508523273,0.08638567421990562
Australia,1932,0.3011061618079296,0.27592802829592844,0.10459843697186269,0.27614725311384225,0.7169864074720653,0.2735949586076145,"reconstructed, resident currency",0.39123363835069336,0.07681546905168579,0.20678036489838725,0.22436498787975956,0.07681546905168579,0.3703634289419564,0.22725518395857863,15,-0.04081616659723808,0.06640175816199201,0.07793757334444518,0.16025907588768828,0.4015550931971881,0.35342389908798655
Australia,1933,0.25600001215934753,0.23455361714733636,0.3890946448738364,0.23477164518088856,0.5933163830278935,0.2323021018905267,"reconstructed, resident currency",0.05805879086256027,0.02768038958311081,0.06592745658569998,0.07383075636346148,0.02768038958311081,0.13305556837551236,0.08905675868224304,15,0.0,-0.10963583515681319,-0.07537849330416979,0.030170519994877854,-0.2991631581866777,-0.22132379017573367
Australia,1934,0.23200000822544098,-0.04941433305251197,0.011850983366970373,-0.04639270990597777,0.5002905825283235,-0.048299924486165824,"reconstructed, resident currency",0.0723716989159584,0.02591796964406967,0.12616251521867938,0.12229290450615515,0.02591796964406967,0.09776361600083794,0.0005478953691573289,15,0.0,-0.01073693175487822,-0.011117751582977675,0.008767156750223437,-0.15455078222448704,0.43451126953246755
Australia,1935,0.08941071425108538,0.2838153239830219,0.27375316205252065,0.28141550251581604,0.5122578566716348,0.2788526715107844,"reconstructed, resident currency",0.011203915358723116,0.012554486724123404,0.017709610034263745,0.016837511377667536,0.012554486724123404,0.021360756800295144,0.01742148229542429,15,0.010638126754201949,0.03577566627089257,0.036682382196987495,-0.0020322077192309607,0.057426567442397713,0.001715846622480477
Australia,1936,0.16132652657845203,0.22077968888187893,0.26259966031957427,0.22017771615715698,0.504946822636257,0.21773736072484273,"reconstructed, resident currency",0.005207929753814344,-0.008000144175148938,0.027535073831128187,0.02531535840345689,-0.008000144175148938,0.0009895130689254739,-0.032864778494632006,14,0.031578950027700836,0.26405332931953507,0.2608955169987095,0.012372876775614161,0.25067096112109133,-0.04428986247185518
