month,domestic,international,bond,gold,mf,cash
1970-01,-0.0743745008282,-0.0214011331923,0.00257773401825,-0.00653966448678,0.0182693199533,0.00703004347754
1970-02,0.0579594127894,-0.0129787776122,0.0566100085174,0.00143102461362,-0.0232230468051,0.00713799381895
1970-03,-0.00483176177447,-0.000947161519325,-0.00164497738123,0.00285795941698,-0.0132965225853,0.00688333554149
1970-04,-0.104827090191,-0.105215079027,-0.0390042362343,0.0151040182388,0.0491314218087,0.00649613458538
1970-05,-0.064084478743,-0.0743600716681,0.00616785197418,0.00926445816957,0.0196406579044,0.00605271748963
1970-06,-0.0522945130523,0.010382543035,0.0163851014034,-0.0147426981919,0.000677498044789,0.00649613458538
1970-07,0.0743782133207,0.0387398139325,0.0209211374998,-0.00282326369283,-0.0203902530677,0.00648837383085
1970-08,0.05032186541,0.0190787383635,0.00477362203565,0.00169875424689,-0.0219970887522,0.00644179547514
1970-09,0.047441522493,0.030406161494,0.0180603637486,0.0228942905596,-0.0346220624953,0.00621633185315
1970-10,-0.0180286119474,-0.0278408585497,0.00838005391496,0.036750483559,0.00647233561003,0.00588880990679
1970-11,0.0508591783829,-0.0342185566305,0.0595069808019,-0.00213219616205,0.0108723419391,0.00546597912957
1970-12,0.0616127430318,0.0352980648845,0.00981970038676,0.0,0.01466594752,0.00493072793153
1971-01,0.0522260773299,0.0464727890255,0.0237081126434,0.0117521367521,-0.0145222584946,0.00460648106881
1971-02,0.0173060680006,0.0118463856751,0.0132030805717,0.0227032734952,0.0388493287882,0.00414581520379
1971-03,0.0446013673441,0.0507158038305,0.0397461549748,0.00335570469799,0.0227234263675,0.00357871337678
1971-04,0.0342583991352,0.0214083802395,-0.039372734963,0.00360174942115,-0.0509876334126,0.00315307420847
1971-05,-0.0370629010477,0.00792167725139,-0.0119131363452,0.0387080235837,-0.0344723993336,0.00363478168988
1971-06,0.00366600109991,0.0172315403544,-0.0216607774503,-0.0103652517275,-0.0385939599761,0.00405818470759
1971-07,-0.0413272207288,0.0252660928905,-0.00128886109793,0.0211970074813,0.00647049126585,0.0043923222705
1971-08,0.0396975590677,-0.0157371500912,0.0490874682783,0.0429792429792,-0.00898679743358,0.00466983920004
1971-09,-0.00487645950935,-0.00277150976616,0.0175614336943,-0.0159213298993,-0.00018019152951,0.00466192183687
1971-10,-0.0405327010753,-0.0420591188356,0.016316890296,0.0111824886985,0.0237169767405,0.00457478551288
1971-11,-0.000871326214874,0.0181075005147,-0.00317086103525,0.00847058823529,-0.0251330049288,0.00428902936033
1971-12,0.0909687502548,0.152260521977,0.0130859534929,0.0144657022865,-0.0108887698167,0.0039704700018
1972-01,0.02784784308,0.0726977607614,-0.00801156677466,0.0522079116835,0.00272525148164,0.00379478728344
1972-02,0.0312439561399,0.0605555855411,0.00984939161459,0.0548633879781,0.0217065960673,0.00323353566034
1972-03,0.0088885586549,0.0103020615646,-0.00437329721506,0.00145047658516,0.000616943331507,0.00295967657621
1972-04,0.00541518418382,0.038389859392,0.00685099878111,0.0144837575005,0.0028683071074,0.0033380295383
1972-05,0.0156935418403,0.068095822591,0.010835294226,0.114011829492,-0.0203145648477,0.00375481218115
1972-06,-0.0213835708552,-0.0341266989118,-0.00215613184394,0.136763090443,0.00702656187332,0.00360274687305
1972-07,-0.004777186572,0.062281455305,0.00636826386785,0.0574971815107,0.0296625076695,0.00378679366382
1972-08,0.035596382714,0.0119786464638,-0.0118866989683,0.0208650624429,0.00463465166446,0.00393057179732
1972-09,-0.00770905890489,-0.0484841999407,0.00234954280334,-0.0234223482023,0.00437407171414,0.00395451281294
1972-10,0.00899047442303,-0.00162785153748,0.0104107462448,-0.00916590284143,0.0275896129894,0.00417765999336
1972-11,0.0493528588697,0.0826131278387,0.0140717512152,-0.0300647548566,0.00420133800473,0.00427312776616
1972-12,0.0107151169236,0.0217567305644,-0.00302086049431,0.0158957240502,0.0531249121434,0.00424927018062
1973-01,-0.0283658792688,0.0451811809281,-0.00313972964998,0.0192458144265,0.113255011207,0.00441614251048
1973-02,-0.0442289947459,0.102504060988,-0.00632196227189,0.13908504759,0.167700324147,0.00471732897177
1973-03,-0.00858205836485,0.0221805298925,0.000301044787868,0.137061994609,0.00396919741132,0.00513575317408
1973-04,-0.051578414961,-0.0685301986122,0.00641474300065,0.0726561574019,-0.0146266057309,0.0056932979896
1973-05,-0.0244735309646,0.0172043258839,-0.00455923946328,0.126629834254,0.0195679349426,0.00589662169497
1973-06,-0.0103960805692,0.0137580028025,0.00356557678678,0.178109062377,0.0572231366439,0.0060839047032
1973-07,0.0565504421911,0.000545697997504,-0.0317625476864,0.00041625041625,0.0307158259098,0.00655819693656
1973-08,-0.0312210590908,-0.0544253875353,0.0256932365435,-0.111591911459,0.0225807635606,0.00774476854075
1973-09,0.0545365351576,0.018339739231,0.0299533381013,-0.0355001873361,0.0316840981819,0.00856024728635
