country,year,domestic_equity_real,international_equity_real,international_equity_real_constant_real_fx,world_equity_real_resident_reconstructed,xrusd,world_equity_real,world_equity_source,bond_real,bill_real,world_bond_real,world_bond_real_fixed_notional,world_bill_real,world_bond_real_unhedged,world_bill_real_unhedged,world_bond_issuers,inflation,trend_real,trend_real_fixed_notional,trend_cash_us_real,trend_real_unhedged,gold_real
Australia,1927,0.10356371463310432,0.24605506384676357,0.2597923926472527,0.24463154408236476,0.41433834413409815,0.2421422809942,"reconstructed, resident currency",0.03887701410364697,0.023143750333802116,0.043767614293068524,0.04708999033518757,0.023143750333802116,0.10568865439125696,0.08499003107984725,15,0.018518444444444393,0.2377913480130187,0.23904343657318394,0.06069651650102048,0.24383203512591622,-0.015361188083041988
Australia,1928,0.16639631263078547,0.3062066632927034,0.3312848396945215,0.30523154204097147,0.4151414263418,0.3026210789568895,"reconstructed, resident currency",0.03544721987935029,0.0327025006928654,0.05856694655462613,0.05787446864387169,0.0327025006928654,0.0560952202213123,0.03083814979773163,15,0.009090982479344145,0.2926919742607419,0.2905181578183833,0.05045226040342521,0.2830796815723866,-0.01834291958664447
Australia,1929,-0.05300000309944153,-0.011262007875462277,-0.06197289556989266,-0.011539256262078856,0.4365832221661474,-0.013516177749554714,"reconstructed, resident currency",-0.01681390590965748,0.04343852028250694,0.05394927916445802,0.05760976258487416,0.04343852028250694,0.10401683428947672,0.09264376458058322,15,0.0,0.19072831999091377,0.19925912073609942,0.03785806464463959,0.2455316004890511,0.04569120242725977
Australia,1930,-0.23388235709246474,0.05733982096195134,-0.18082926871355554,0.05568749031072473,0.5307128194828947,0.05357611533010331,"reconstructed, resident currency",0.0399930928559864,0.13550662501331634,0.16701599776555254,0.18457285449914718,0.13550662501331634,0.390895841245011,0.3511222204192888,15,-0.08108108108108103,0.21107892259107208,0.25296651082093713,0.10740235214556271,0.525892432598642,0.36917799614589897
Australia,1931,0.22504091744654553,-0.30770875984062096,-0.2947410933207798,-0.3050613734256121,0.5523449889357013,-0.3064512506787609,"reconstructed, resident currency",0.08032224730167936,0.08538051690210313,0.030163798873255043,0.031335147068459746,0.08538051690210313,-0.018898783120756213,0.03338647168977449,15,-0.039215764705882394,0.28409417288652583,0.2953773049476338,0.15094084355712933,0.34251746508523273,0.08638567421990562
Australia,1932,0.3011061618079296,0.2726716258971489,0.10202445662629653,0.2729237571298617,0.7169864074720653,0.27037790961560204,"reconstructed, resident currency",0.39123363835069336,0.07681546905168579,0.20898017286934079,0.2279557999413504,0.07681546905168579,0.3749141700796299,0.2289604035761917,15,-0.04081616659723808,0.06640175816199201,0.07793757334444518,0.16025907588768828,0.4015550931971881,0.35342389908798655
Australia,1933,0.25600001215934753,0.24793099195133927,0.40695464157670946,0.24801483250786727,0.5933163830278935,0.24551880284285144,"reconstructed, resident currency",0.05805879086256027,0.02768038958311081,0.07052883991858794,0.07907447312368143,0.02768038958311081,0.14043341697437262,0.09133292515491762,15,0.0,-0.10963583515681319,-0.07537849330416979,0.030170519994877854,-0.2991631581866777,-0.22132379017573367
Australia,1934,0.23200000822544098,-0.04254211795278329,0.019798766012520057,-0.039563269897357145,0.5002905825283235,-0.04148414335756245,"reconstructed, resident currency",0.0723716989159584,0.02591796964406967,0.1428964057021529,0.14051915486190203,0.02591796964406967,0.11550373916452128,0.0001324199677878927,15,0.0,-0.01073693175487822,-0.011117751582977675,0.008767156750223437,-0.15455078222448704,0.43451126953246755
Australia,1935,0.08941071425108538,0.2815087738617974,0.26396776884541484,0.27912810246132347,0.5122578566716348,0.2765698462564008,"reconstructed, resident currency",0.011203915358723116,0.012554486724123404,-5.03218486224144e-05,0.0006137779045538583,0.012554486724123404,0.018351772215899453,0.03092186989992748,15,0.010638126754201949,0.03577566627089257,0.036682382196987495,-0.0020322077192309607,0.057426567442397713,0.001715846622480477
Australia,1936,0.16132652657845203,0.22273746649776882,0.2640684994336486,0.22210785293929391,0.504946822636257,0.2196636372334153,"reconstructed, resident currency",0.005207929753814344,-0.008000144175148938,0.01609344389448153,0.014808534670508688,-0.008000144175148938,-0.009734050764820923,-0.033312659585153746,14,0.031578950027700836,0.26405332931953507,0.2608955169987095,0.012372876775614161,0.25067096112109133,-0.04428986247185518
