country,year,domestic_equity_real,international_equity_real,international_equity_real_constant_real_fx,world_equity_real_resident_reconstructed,xrusd,world_equity_real,world_equity_source,bond_real,bill_real,world_bond_real,world_bond_real_fixed_notional,world_bill_real,world_bond_real_unhedged,world_bill_real_unhedged,world_bond_issuers,inflation,trend_real,trend_real_fixed_notional,trend_cash_us_real,trend_real_unhedged,gold_real
Australia,1927,0.10356371463310432,0.2753116364996131,0.2877898241443361,0.2735534647074669,0.41433834413409815,0.27100635777805193,"reconstructed, resident currency",0.03887701410364697,0.023143750333802116,0.05144228981769938,0.05339344182504635,0.023143750333802116,0.09980080330556595,0.0722526738456101,15,0.018518444444444393,0.2377913480130187,0.23904343657318394,0.06069651650102048,0.24383203512591622,-0.015361188083041988
Australia,1928,0.16639631263078547,0.3150252462403549,0.3389316273393966,0.3139830762316065,0.4151414263418,0.3113551100791432,"reconstructed, resident currency",0.03544721987935029,0.0327025006928654,0.06874575841382935,0.06792846988940027,0.0327025006928654,0.06414360151818266,0.028686740404770202,15,0.009090982479344145,0.2926919742607419,0.2905181578183833,0.05045226040342521,0.2830796815723866,-0.01834291958664447
Australia,1929,-0.05300000309944153,-0.014988477371968845,-0.06679087910990489,-0.015241106366293722,0.4365832221661474,-0.017210624153561116,"reconstructed, resident currency",-0.01681390590965748,0.04343852028250694,0.05949855713669994,0.06314871133720867,0.04343852028250694,0.1065402829911688,0.08924132890776416,15,0.0,0.19072831999091377,0.19925912073609942,0.03785806464463959,0.2455316004890511,0.04569120242725977
Australia,1930,-0.23388235709246474,0.05740073950046032,-0.18183146306142423,0.05573956985619155,0.5307128194828947,0.053628090716479226,"reconstructed, resident currency",0.0399930928559864,0.13550662501331634,0.183793434353956,0.20445959266160396,0.13550662501331634,0.4098966022073858,0.34985184259109064,15,-0.08108108108108103,0.21107892259107208,0.25296651082093713,0.10740235214556271,0.525892432598642,0.36917799614589897
Australia,1931,0.22504091744654553,-0.3067208356522194,-0.29373420941786543,-0.3040696357558289,0.5523449889357013,-0.3054614964843172,"reconstructed, resident currency",0.08032224730167936,0.08538051690210313,0.036654864338833804,0.038321360788073244,0.08538051690210313,-0.015436979384929495,0.029476754873647055,15,-0.039215764705882394,0.28409417288652583,0.2953773049476338,0.15094084355712933,0.34251746508523273,0.08638567421990562
Australia,1932,0.3011061618079296,0.267599804619701,0.09757981952382255,0.26789639503645657,0.7169864074720653,0.2653606022463837,"reconstructed, resident currency",0.39123363835069336,0.07681546905168579,0.19431499713659983,0.20784810287425248,0.07681546905168579,0.35222006070980116,0.22572153528842442,15,-0.04081616659723808,0.06640175816199201,0.07793757334444518,0.16025907588768828,0.4015550931971881,0.35342389908798655
Australia,1933,0.25600001215934753,0.22720287075765655,0.39900825208390556,0.22750378519472303,0.5933163830278935,0.2250487776243335,"reconstructed, resident currency",0.05805879086256027,0.02768038958311081,0.06212748099222831,0.06643989648779125,0.02768038958311081,0.1106592133377502,0.07320437704884782,15,0.0,-0.10963583515681319,-0.07537849330416979,0.030170519994877854,-0.2991631581866777,-0.22132379017573367
Australia,1934,0.23200000822544098,-0.04720386387693276,0.012080527870635214,-0.044146198798861724,0.5002905825283235,-0.04605790640126395,"reconstructed, resident currency",0.0723716989159584,0.02591796964406967,0.15163547874570038,0.15044930688814562,0.02591796964406967,0.13659851639554765,0.011676974960060489,15,0.0,-0.01073693175487822,-0.011117751582977675,0.008767156750223437,-0.15455078222448704,0.43451126953246755
Australia,1935,0.08941071425108538,0.2845720295143712,0.27598210287577696,0.282109207004811,0.5122578566716348,0.27954498859080146,"reconstructed, resident currency",0.011203915358723116,0.012554486724123404,0.006151480501784157,0.005113264432176967,0.012554486724123404,0.007752120090787962,0.015474564409626298,15,0.010638126754201949,0.03577566627089257,0.036682382196987495,-0.0020322077192309607,0.057426567442397713,0.001715846622480477
Australia,1936,0.16132652657845203,0.21883396143319134,0.2616585604163713,0.2182402325377346,0.504946822636257,0.21580375207265923,"reconstructed, resident currency",0.005207929753814344,-0.008000144175148938,0.020555329438838976,0.018464289030032832,-0.008000144175148938,-0.012676139372857831,-0.04003259675902755,14,0.031578950027700836,0.26405332931953507,0.2608955169987095,0.012372876775614161,0.25067096112109133,-0.04428986247185518
Australia,1937,0.0035198380028567122,-0.24797571722501366,-0.24447118541956842,-0.24547907324356977,0.5077324401141773,-0.24698811509708263,"reconstructed, resident currency",-0.03195155077288514,0.002859484210589347,-0.0013883116819024544,-0.0017713424765328778,0.002859484210589347,-0.06343555441931492,-0.06088031394242189,14,0.020408328196598324,-0.06357140237076953,-0.06385233405608925,-0.011132956950033579,-0.05738260279630192,-0.013612526471871167
Australia,1938,-0.02450972577278543,0.03118381486961197,0.057362437570987676,0.030432540130416852,0.5134151834605164,0.02837167505015592,"reconstructed, resident currency",-0.03615399898412497,0.003261030946592358,0.03137524073968456,0.02669861635808024,0.003261030946592358,0.005217158430887103,-0.018645193620041783,14,0.019999918400006367,0.08427446712605513,0.08571703066560454,0.047570894586841384,0.09900328458896102,-0.005434218784742484
