country,year,international_equity_real,international_equity_real_constant_real_fx,world_equity_real_resident,resident_xrusd,markets,world_markets,weight_source
Australia,1871,0.3790877510969104,0.3349758893104634,0.37211709807254034,0.3691464495849117,4,5,PIB proxy
Australia,1872,0.14829934414698287,0.06093411149437901,0.14829934414698287,0.36923880927016545,6,6,capitalisation
Australia,1873,-0.024223968892840952,-0.04004761293648052,-0.021795970056542546,0.3624047757834013,8,9,PIB proxy
Australia,1874,-0.004534152047338091,0.056580993016561484,-0.002446603867920172,0.37222345512135085,9,10,PIB proxy
Australia,1875,0.0116459855811466,0.0967537291281531,0.012805805960070193,0.3609256158331147,9,10,PIB proxy
Australia,1876,0.006509614924304241,0.006922401368696374,0.008032161580333597,0.3720217079912038,9,10,PIB proxy
Australia,1877,0.04160404249758565,0.07140058464259483,0.042239686913819297,0.39991067984815576,7,8,capitalisation
Australia,1878,0.09211945243743136,0.10880893454895105,0.08953922415822202,0.41257288115076557,9,10,PIB proxy
Australia,1879,0.3155901633742857,0.3012240182239977,0.31282977332175044,0.4150882566293221,9,10,PIB proxy
Australia,1880,0.2126624559676411,0.1581354082842839,0.2126624559676411,0.41252253898543567,8,8,capitalisation
Australia,1881,0.18088402403932013,0.16323495014281386,0.1793023350816143,0.415874878239073,9,10,PIB proxy
Australia,1882,-0.03997713033796124,-0.021668289859252638,-0.037947350939177005,0.4124365263221646,10,11,PIB proxy
Australia,1883,-0.09057467954159193,0.019863610832147646,-0.0864825073894614,0.4131763213548113,10,11,PIB proxy
Australia,1884,0.029826352190812866,0.059204284734873575,0.0298236543390602,0.4137967507243865,8,9,capitalisation
Australia,1885,0.09595461953972517,0.12035715164054411,0.09626533084875732,0.41309466050859567,10,11,PIB proxy
Australia,1886,0.07729636604053947,0.09657655401740889,0.07636500197075846,0.4121250083411612,10,11,PIB proxy
Australia,1887,0.04294644294242578,0.01031074025150455,0.04822394996763468,0.41447168205588253,10,11,PIB proxy
Australia,1888,0.12836069223377455,0.07593742097959659,0.13224928118809198,0.4129029645341571,10,11,PIB proxy
Australia,1889,0.09722342085190916,0.08794491617413339,0.09546778867717509,0.4117739386444417,8,9,capitalisation
Australia,1890,-0.015509981607755075,-0.02072537392542816,-0.014886855885847483,0.4127704266670076,10,11,PIB proxy
Australia,1891,0.0703178933700419,0.04664896473334648,0.06709422033442936,0.41335053898449514,10,11,PIB proxy
Australia,1892,0.04409634238755933,0.03652697596306768,0.044842788366022956,0.4123145091878488,10,11,PIB proxy
Australia,1893,-0.002096667905325922,-0.00754996596884288,-0.002396518104087031,0.4131714963323109,10,11,PIB proxy
Australia,1894,0.1328675930571357,0.08872784070193501,0.13368639705324425,0.4124115766942889,10,11,PIB proxy
Australia,1895,0.1705541774656758,0.0966399411972752,0.17259451274624316,0.41104284708261263,10,11,PIB proxy
Australia,1896,0.06601199095932797,0.06558722622139022,0.06525015594658701,0.4130498688942322,10,11,PIB proxy
Australia,1897,0.10706389606938593,0.10503834810843299,0.1067035320981633,0.4129649029197701,11,12,PIB proxy
Australia,1898,0.15438929461269346,0.1274962955039089,0.1547163146155104,0.4162815219700577,11,12,PIB proxy
Australia,1899,0.004955621891394868,0.05306707984705761,0.00541263801650671,0.4155174733995985,9,10,capitalisation
Australia,1900,0.07766306742385987,0.06668214907004545,0.07785049235934549,0.4155043641520236,10,11,capitalisation
Australia,1901,0.059622117432903465,0.0724992605596971,0.05797665119731055,0.4150841148947982,14,15,PIB proxy
Australia,1902,-0.015480266950567811,0.04529650002052728,-0.01490531495989289,0.4152713811266021,12,13,capitalisation
Australia,1903,-0.05562842352520392,-0.0523412500232836,-0.05428611742670841,0.4155164907043526,12,13,capitalisation
Australia,1904,0.24085890683310018,0.1832214975966064,0.2401172368951392,0.4146392388698032,12,13,capitalisation
Australia,1905,0.1378289426148096,0.13644635662127974,0.13787700444732232,0.41488145716796226,12,13,capitalisation
Australia,1906,0.05723251469297508,0.04913348024166311,0.057647096899047234,0.4149464723511342,14,15,PIB proxy
Australia,1907,-0.13107558394638552,-0.14506104724925942,-0.12941933629329205,0.41196953439646916,12,13,capitalisation
Australia,1908,0.15975238282076232,0.1936191062224452,0.15958501276966386,0.41480299208149884,12,13,capitalisation
Australia,1909,0.12766199765553332,0.1532290294625054,0.12759329970281352,0.41355515351010147,12,13,capitalisation
Australia,1910,-0.029232026368387953,-0.0427043283368322,-0.028671196893843787,0.41395996734233387,12,13,capitalisation
Australia,1911,-0.019705215750000726,0.043892362769822085,-0.019341546464409443,0.4146558862439013,12,13,capitalisation
Australia,1912,-0.019098335636386077,0.03979317521024265,-0.01895734899037982,0.41416473580788926,12,13,capitalisation
Australia,1913,-0.028936354751555093,-0.045808375339739374,-0.0279814884065801,0.41384943971647487,13,14,capitalisation
Australia,1914,-0.09924220326717703,-0.05446191607481333,-0.09809345716725448,0.40966984169970594,14,15,capitalisation
Australia,1915,0.05386381171071686,0.06953570477696344,0.052439563154036195,0.4272693557290839,12,13,capitalisation
Australia,1916,0.044479306851577194,-0.04269966876751431,0.04367052953687334,0.42591712884425026,12,13,capitalisation
Australia,1917,-0.13650131642504393,-0.25143029536570993,-0.13487436734031522,0.42450906625965557,12,13,capitalisation
Australia,1918,0.07356615830250823,-0.05492166157071014,0.0727879490098724,0.424438120878588,11,12,capitalisation
Australia,1919,-0.004277349574885014,0.05334323780881477,-0.0035481693130703373,0.4573750556384178,11,12,capitalisation
Australia,1920,-0.13134815747937,-0.2918231015432381,-0.12898866236273487,0.5594117322889597,11,12,capitalisation
Australia,1921,0.1552600177272203,0.23616859165587928,0.15724011799427817,0.5297549951485833,12,13,capitalisation
Australia,1922,0.12343016598130774,0.4301949026927253,0.12447958252484126,0.45266236183674174,13,14,capitalisation
Australia,1923,1.01546795193752,0.24162665806858702,1.0083195829376477,0.435687530180402,13,14,capitalisation
Australia,1924,0.16781200903737536,0.17296229172856514,0.16741302033804617,0.44232046227806776,12,13,capitalisation
Australia,1925,0.12685152670180266,0.16364722017908534,0.1272085752482024,0.41447141948415456,13,14,capitalisation
Australia,1926,0.14468979332744958,0.1605093798007181,0.14465525520988254,0.41257451845657517,12,13,capitalisation
Australia,1927,0.25896131387414245,0.2679931127911733,0.2574415500527123,0.41433834413409815,12,13,capitalisation
Australia,1928,0.30723401619202595,0.32817835644005944,0.3062834371273626,0.4151414263418,12,13,capitalisation
Australia,1929,-0.021173994436445742,-0.07352931089112683,-0.02137941696276857,0.4365832221661474,13,14,capitalisation
Australia,1930,0.05442517433448546,-0.18373712933157846,0.052815441082251224,0.5307128194828947,13,14,capitalisation
Australia,1931,-0.3122963280200671,-0.30011432388399245,-0.30967158447842447,0.5523449889357013,13,14,capitalisation
Australia,1932,0.285059079530541,0.10278239160551325,0.2851997315889878,0.7169864074720653,13,14,capitalisation
Australia,1933,0.2428261223587984,0.3917949462624516,0.24296110553692563,0.5933163830278935,13,14,capitalisation
Australia,1934,-0.045993391998326194,0.014957757526580122,-0.042992483217790256,0.5002905825283235,13,14,capitalisation
Australia,1935,0.28514732294231426,0.275394002184723,0.28272016809885114,0.5122578566716348,13,14,capitalisation
Australia,1936,0.22322674102000128,0.2667724019898312,0.22259724304251982,0.504946822636257,13,14,capitalisation
Australia,1937,-0.2461896148694317,-0.24151153293330588,-0.24375307064775853,0.5077324401141773,13,14,capitalisation
Australia,1938,0.03067759682198834,0.057492968053625165,0.02994782449092881,0.5134151834605164,13,14,capitalisation
Australia,1939,0.0736909631115914,0.024565727172119668,0.07307547044167628,0.5659629860207143,14,15,capitalisation
Australia,1940,0.035555624525584806,-0.08742853408847254,0.03476372947172246,0.655393891728929,12,13,capitalisation
Australia,1941,-0.03194419198427545,-0.04734939003162558,-0.03293716257863766,0.6225099601593626,11,12,capitalisation
Australia,1942,0.049378120123783065,0.03541010661077783,0.05019160202075246,0.6220839813374806,11,12,capitalisation
Australia,1943,0.16896125780504123,0.1071035029032906,0.1679896149680693,0.6198090987975704,11,12,capitalisation
Australia,1944,0.1295592113523587,0.10907717955246395,0.12898981263557285,0.6195786864931846,11,12,capitalisation
Australia,1945,0.19428409108187417,0.19531608285103802,0.19357325947897963,0.6211180124223602,10,11,capitalisation
Australia,1946,-0.14084818801047538,-0.05678820662814754,-0.13826775546534953,0.6223937262712392,11,12,capitalisation
Australia,1947,-0.11646279182685548,-0.11149795429099685,-0.11409543353941243,0.6230529595015576,13,14,capitalisation
Australia,1948,-0.0637933000779447,-0.10116054941973375,-0.06365339015416427,0.6203473045260441,13,14,capitalisation
Australia,1949,0.37341899918412924,0.07881097656886653,0.3668206725185241,0.892856999892857,13,13,capitalisation
Australia,1950,0.12540627893712153,0.19197771916552206,0.12678917318910576,0.892856999892857,13,14,capitalisation
Australia,1951,0.025598114255499516,0.13826600084633697,0.021375550855456282,0.899280575941751,13,14,capitalisation
Australia,1952,-0.026322677829509034,0.08375697926657981,-0.02931668068282467,0.8920606609217285,13,14,capitalisation
Australia,1953,0.03158723757985782,0.0557598264226083,0.0321957087845961,0.8920606609217285,14,15,capitalisation
Australia,1954,0.49855260090056763,0.4836047460121553,0.49469905432220185,0.899280575941751,13,14,capitalisation
Australia,1955,0.2330702349296152,0.2549779250574162,0.23175635067214828,0.8940545381262892,14,15,capitalisation
Australia,1956,-0.015993156980686707,0.016919879930838284,-0.015710625179085724,0.899280575941751,14,15,capitalisation
Australia,1957,-0.0997760943573871,-0.09715650653657082,-0.09736326948331708,0.8924587245813981,14,15,capitalisation
Australia,1958,0.32213877684146985,0.2998072857674018,0.3204996969898466,0.8940545381262892,14,15,capitalisation
Australia,1959,0.21335013949316228,0.22099727768679142,0.21568691779011373,0.8948545865299573,14,15,capitalisation
Australia,1960,-0.0077562552491342585,0.01574598967864556,-0.009092377761838244,0.8936550499500042,14,15,capitalisation
Australia,1961,0.1698821265095216,0.17756164355339368,0.16870043337316698,0.8924587245813981,14,15,capitalisation
Australia,1962,-0.0816274938352527,-0.10547436114732751,-0.08003279845586309,0.8940545381262892,14,15,capitalisation
Australia,1963,0.16348599391545093,0.14441112149512425,0.1651375102120507,0.8960573484724516,14,15,capitalisation
Australia,1964,0.07144020382638261,0.07276067690705755,0.07048553665819002,0.8976660690269841,14,15,capitalisation
Australia,1965,0.05336566912244067,0.07334428708937483,0.05049209462332627,0.8940545381262892,14,15,capitalisation
Australia,1966,-0.10299549355649806,-0.10919006098103881,-0.100742273458713,0.8976660682226211,14,15,capitalisation
Australia,1967,0.14876500060343956,0.18895240194909063,0.15254982424676244,0.8920606609206608,14,15,capitalisation
Australia,1968,0.18543061448099052,0.16024568860360916,0.18811853730639116,0.9009009009009008,14,15,capitalisation
Australia,1969,-0.10672079917831401,-0.1193863656444453,-0.1025250514586058,0.8944543836265245,14,15,capitalisation
Australia,1970,-0.04084672367553255,-0.06054747129342847,-0.04453585045531683,0.8968609873514449,14,15,capitalisation
Australia,1971,0.05290062146562424,0.10426783620524724,0.04836053423336284,0.8396305632574564,14,15,capitalisation
Australia,1972,0.059154961541992845,0.16075064992664267,0.06413603260200262,0.7843137261053441,14,15,capitalisation
Australia,1973,-0.3224731683370987,-0.2059963207163174,-0.3224662995849109,0.6720430112043301,14,15,capitalisation
Australia,1974,-0.271986638138523,-0.3444063892741156,-0.2738268169274555,0.7535795032054102,14,15,capitalisation
Australia,1975,0.2513122721110399,0.2632346831605149,0.2530490110168171,0.7954816647804325,14,15,capitalisation
Australia,1976,0.1454955510928746,0.06685405173846978,0.1407140049153328,0.9204712812960235,14,15,capitalisation
Australia,1977,-0.14029683505217083,-0.08268051471739314,-0.13772362122441362,0.8761170500053592,14,15,capitalisation
Australia,1978,0.0342858856888717,0.0157308540828488,0.03643132567335683,0.8691873106207626,14,15,capitalisation
Australia,1979,0.11401265250095394,0.049250315613681116,0.11729596658368058,0.9045680695654166,14,15,capitalisation
Australia,1980,0.08024005025641934,0.14639951630834258,0.08859342137938797,0.846955196787461,14,15,capitalisation
