mode,month,raw_return,cash_collateral_return,gross_return,net_return,portfolio_vol_scalar,gross_exposure,turnover,transaction_cost,management_fee,ex_ante_raw_vol
Baseline,1926-03,-0.0200650443897149,0.00327373971032,-0.0436917472089694,-0.0459464841562002,2.3330242851530274,5.163827562978852,5.163827562978852,0.0015491482688936558,0.0007055886783371434,0.04286282000422504
Baseline,1926-04,-0.0032467942443461287,0.00327373971032,-0.0039038724429540927,-0.004844434994983843,2.203463063890457,4.553425701773605,0.7832462456420224,0.0002349738736926067,0.0007055886783371434,0.045383107000413696
Baseline,1926-05,-0.0012811068763641858,0.00327373971032,0.00040027269641940144,-0.0011665533493406825,2.2356376186849243,1.919319489709719,2.8707912247431357,0.0008612373674229406,0.0007055886783371434,0.04472996838316905
Baseline,1926-06,-0.00971640442436998,0.00327373971032,-0.018889953194236475,-0.020696238292111792,2.2736158911828555,4.726075018694217,3.6689880651272477,0.0011006964195381743,0.0007055886783371434,0.043982803070563826
Baseline,1926-07,-0.004668726639300894,0.00327373971032,-0.007369023678522657,-0.008282210104262711,2.272147474360632,4.65559312508087,0.6919924913430318,0.0002075977474029095,0.0007055886783371434,0.04401122776070659
Baseline,1926-08,0.0010472130128895457,0.00327373971032,0.005689206314043904,0.004117944458063992,2.2990401839282235,2.1164611544107372,2.885577258809228,0.0008656731776427684,0.0007055886783371434,0.04349641241552219
Baseline,1926-09,0.003904008842457198,0.00327373971032,0.012435233713833815,0.011592158415106878,2.3390314653558657,2.071944249144738,0.458288734632649,0.00013748662038979472,0.0007055886783371434,0.04275273825133676
Baseline,1926-10,-0.012673285702153845,0.00327373971032,-0.02696971626453981,-0.02876576760609363,2.3786072967357974,2.4999109313039516,3.6348755440555918,0.0010904626632166775,0.0007055886783371434,0.04204140806985318
Baseline,1926-11,0.005221996436962676,0.00327373971032,0.01562594105219195,0.014803675685738872,2.357698927912248,2.478822731157412,0.3889222937197759,0.00011667668811593277,0.0007055886783371434,0.04241423653212177
Baseline,1926-12,0.015360553766507799,0.00327373971032,0.04015433487900655,0.037597454766088334,2.393159272237659,4.788341057787386,6.170971448603561,0.0018512914345810685,0.0007055886783371434,0.04178576877856429
Baseline,1927-01,0.008170192205382221,0.00327373971032,0.022849503498119983,0.02184271468755879,2.3881796729113742,5.713195338559771,1.004000440746831,0.0003012001322240493,0.0007055886783371434,0.041872896388106484
Baseline,1927-02,0.010974438445032838,0.00327373971032,0.029883363503231175,0.029070615105863274,2.4167792455459347,5.556512137442449,0.35719906343585733,0.00010715971903075721,0.0007055886783371434,0.041377382805772425
Baseline,1927-03,0.014452985718176738,0.00327373971032,0.038596016996761184,0.03781131841104789,2.4359685505713102,5.710595649284966,0.26369969125385095,7.910990737615528e-05,0.0007055886783371434,0.04105143310513878
Baseline,1927-04,0.01059103228831691,0.00327373971032,0.029199586054116544,0.02833785767502776,2.439917858608688,5.57618975976362,0.5204656691721382,0.00015613970075164146,0.0007055886783371434,0.04098498629663824
Baseline,1927-05,-0.005471348800307902,0.00327373971032,-0.010076903029307638,-0.01087618465441966,2.432138639469221,5.331581662793484,0.3123098225829259,9.369294677487776e-05,0.0007055886783371434,0.04111607717470562
Baseline,1927-06,-0.0002543081345263273,0.00327373971032,0.0026567350474100415,0.0017046631768660122,2.4182920553441263,5.878318054604421,0.8216106406896194,0.00024648319220688586,0.0007055886783371434,0.04135149837630751
Baseline,1927-07,-0.0007019937943609285,0.00327373971032,0.0015207359266169451,0.00045338457173474747,2.4890300255186824,6.491088143626464,1.2058755884835135,0.0003617626765450541,0.0007055886783371434,0.040176293164306556
Baseline,1927-08,0.011315430452893446,0.00327373971032,0.0321984325432374,0.030403640129549638,2.5478756661136623,3.104977646553403,3.630679117835391,0.0010892037353506172,0.0007055886783371434,0.03924838300784609
Baseline,1927-09,0.009471903305573098,0.00327373971032,0.02810062696041271,0.02729455581619651,2.612555776367138,3.056773308123385,0.33494155293018957,0.00010048246587905687,0.0007055886783371434,0.0382766947617302
Baseline,1927-10,-0.007059108939389196,0.00327373971032,-0.015382749286725339,-0.017337546952747546,2.6342718272106866,6.514649404512793,4.164029958950211,0.0012492089876850632,0.0007055886783371434,0.03796115456539106
Baseline,1927-11,0.015085587478598754,0.00327373971032,0.04264985166958146,0.041717752584261726,2.601663707493741,6.5365485850050975,0.7550346899419769,0.00022651040698259308,0.0007055886783371434,0.0384369431421761
Baseline,1927-12,0.011073123207313346,0.00327373971032,0.031762324019859234,0.030735791021526328,2.5643735642263557,5.914272874299088,1.0698143999858654,0.0003209443199957596,0.0007055886783371434,0.03899587852371616
Baseline,1928-01,-0.0025832322690499078,0.00327373971032,-0.0033322220254528023,-0.004230700869276943,2.548902080130318,6.463020058913284,0.6429672182899928,0.00019289016548699784,0.0007055886783371434,0.03923257812826113
Baseline,1928-02,-0.004321338990375032,0.00327373971032,-0.008993183533741456,-0.010050136330789739,2.829422916769891,7.362705015410573,1.171213729037135,0.0003513641187111405,0.0007055886783371434,0.03534289603979083
Baseline,1928-03,0.011304917343762674,0.00327373971032,0.03515563719655357,0.0332141725290185,2.810977211179381,3.24311838475084,4.119586630659733,0.0012358759891979202,0.0007055886783371434,0.035574817043089346
Baseline,1928-04,-0.000842487233515946,0.00327373971032,0.0007380037580366761,-0.000254155889393035,3.0,3.1372458759631634,0.955236563641892,0.00028657096909256763,0.0007055886783371434,0.03245341152428028
Baseline,1928-05,0.00608877959560408,0.00327373971032,0.02159987773578087,0.019394186359432887,3.0,7.455614435790894,5.0003423267028015,0.0015001026980108404,0.0007055886783371434,0.03199923436546676
Baseline,1928-06,-0.018912981500409987,0.00327373971032,-0.05365095332664527,-0.05566550992940021,3.0,3.9248487418673967,4.363226414726007,0.0013089679244178021,0.0007055886783371434,0.03200837741708866
Baseline,1928-07,0.019289774816919424,0.00327373971032,0.05929758834328491,0.05629403204452669,2.8948518131568877,7.135918483002135,7.65989206807027,0.002297967620421081,0.0007055886783371434,0.034544082548718866
Baseline,1928-08,0.01148553746324845,0.00327373971032,0.03566589459583347,0.03451993297678068,2.811053251189802,5.973961702417793,1.4679098023854968,0.000440372940715649,0.0007055886783371434,0.03557385473138019
Baseline,1928-09,0.0016420743797584333,0.00327373971032,0.007887372448106778,0.006978378937067272,2.8004688742738537,5.896341304653279,0.678016109007873,0.00020340483270236192,0.0007055886783371434,0.0357083061763825
Baseline,1928-10,0.02036063877624112,0.00327373971032,0.06189687848297165,0.06082780135112235,2.869843562046147,6.672428516013687,1.2116281783738676,0.00036348845351216025,0.0007055886783371434,0.0348451049118168
Baseline,1928-11,0.02911609464839499,0.00327373971032,0.08734438715571935,0.08545642880057498,2.8780068589766463,3.4687560318211994,3.9412322560240876,0.0011823696768072263,0.0007055886783371434,0.03474626882423683
Baseline,1928-12,0.010234725284722615,0.00327373971032,0.030786576044961267,0.028915006104412156,2.679413429284168,6.504342315912117,3.8866042073732285,0.0011659812622119687,0.0007055886783371434,0.037321601402406944
Baseline,1929-01,0.030711885347194434,0.00324129807381,0.08538355909351925,0.08365483842213907,2.665967026810458,3.3296640355245364,3.410439976810101,0.0010231319930430302,0.0007055886783371434,0.037509841267481546
Baseline,1929-02,0.03104994728466438,0.00324129807381,0.08008532385591671,0.07834005314534016,2.4668562366033777,5.929077853074563,3.465606774131337,0.001039682032239401,0.0007055886783371434,0.040537425130898724
Baseline,1929-03,0.060762709490039875,0.00324129807381,0.14506478096362319,0.14411756830894845,2.3265136969662126,5.640755765541436,0.805413254458603,0.00024162397633758088,0.0007055886783371434,0.042982768650965
Baseline,1929-04,-0.02308807173854346,0.00324129807381,-0.0420879647685416,-0.043093850565365216,1.956976415912763,4.917775967998092,1.000990394954908,0.0003002971184864724,0.0007055886783371434,0.05109923614146291
Baseline,1929-05,-0.0073806194464641,0.00324129807381,-0.010529474559642815,-0.011414403374456136,1.8597736629969992,4.655610983927466,0.5978004549205906,0.0001793401364761772,0.0007055886783371434,0.05376998394463303
Baseline,1929-06,0.0006828654259640368,0.00324129807381,0.00450502177291634,0.0029167219642043537,1.844639924388529,1.713240549344657,2.9423704345828097,0.000882711130374843,0.0007055886783371434,0.05421112200699469
