month,AUS,BEL,CAN,CHE,DEU,DNK,ESP,EUR,FIN,FRA,GBR,IRL,ITA,JPN,NLD,NOR,PRT,SWE,USA
1921-01,0.00322511547575,0.00234109206934,,0.00351459320111,0.00294354161497,0.00589662174339,0.0048675504594,,0.00526169408931,,0.00503329811552,,,0.00429061929626,0.0029919379701,0.00453515046102,0.00565414541075,0.00439232238173,0.00327373971032
1921-02,0.00322511547575,0.00234109206934,,0.00351459320111,0.00294354161497,0.00589662174339,0.0048675504594,,0.00526169408931,,0.00503329811552,,,0.00429061929626,0.0029919379701,0.00453515046102,0.00565414541075,0.00439232238173,0.00327373971032
1921-03,0.00322511547575,0.00234109206934,,0.00351459320111,0.00294354161497,0.00589662174339,0.0048675504594,,0.00526169408931,,0.00503329811552,,,0.00429061929626,0.0029919379701,0.00453515046102,0.00565414541075,0.00439232238173,0.00327373971032
1921-04,0.00322511547575,0.00234109206934,,0.00351459320111,0.00294354161497,0.00589662174339,0.0048675504594,,0.00526169408931,,0.00503329811552,,,0.00429061929626,0.0029919379701,0.00453515046102,0.00565414541075,0.00439232238173,0.00327373971032
1921-05,0.00322511547575,0.00234109206934,,0.00351459320111,0.00294354161497,0.00589662174339,0.0048675504594,,0.00526169408931,,0.00503329811552,,,0.00429061929626,0.0029919379701,0.00453515046102,0.00565414541075,0.00439232238173,0.00327373971032
1921-06,0.00322511547575,0.00234109206934,,0.00351459320111,0.00294354161497,0.00589662174339,0.0048675504594,,0.00526169408931,,0.00503329811552,,,0.00429061929626,0.0029919379701,0.00453515046102,0.00565414541075,0.00439232238173,0.00327373971032
1921-07,0.00322511547575,0.00234109206934,,0.00351459320111,0.00294354161497,0.00589662174339,0.0048675504594,,0.00526169408931,,0.00503329811552,,,0.00429061929626,0.0029919379701,0.00453515046102,0.00565414541075,0.00439232238173,0.00327373971032
1921-08,0.00322511547575,0.00234109206934,,0.00351459320111,0.00294354161497,0.00589662174339,0.0048675504594,,0.00526169408931,,0.00503329811552,,,0.00429061929626,0.0029919379701,0.00453515046102,0.00565414541075,0.00439232238173,0.00327373971032
1921-09,0.00322511547575,0.00234109206934,,0.00351459320111,0.00294354161497,0.00589662174339,0.0048675504594,,0.00526169408931,,0.00503329811552,,,0.00429061929626,0.0029919379701,0.00453515046102,0.00565414541075,0.00439232238173,0.00327373971032
1921-10,0.00322511547575,0.00234109206934,,0.00351459320111,0.00294354161497,0.00589662174339,0.0048675504594,,0.00526169408931,,0.00503329811552,,,0.00429061929626,0.0029919379701,0.00453515046102,0.00565414541075,0.00439232238173,0.00327373971032
