month,signal_1m_gross_return,signal_1m_net_return,signal_1m_cash_collateral_return,signal_1m_portfolio_vol_scalar,signal_1m_gross_exposure,signal_1m_turnover,signal_1m_transaction_cost,signal_3m_gross_return,signal_3m_net_return,signal_3m_cash_collateral_return,signal_3m_portfolio_vol_scalar,signal_3m_gross_exposure,signal_3m_turnover,signal_3m_transaction_cost,signal_6m_gross_return,signal_6m_net_return,signal_6m_cash_collateral_return,signal_6m_portfolio_vol_scalar,signal_6m_gross_exposure,signal_6m_turnover,signal_6m_transaction_cost,signal_12m_gross_return,signal_12m_net_return,signal_12m_cash_collateral_return,signal_12m_portfolio_vol_scalar,signal_12m_gross_exposure,signal_12m_turnover,signal_12m_transaction_cost,mf_1_3_12_gross_return,mf_1_3_12_net_return,mf_1_3_12_cash_collateral_return,mf_1_3_12_portfolio_vol_scalar,mf_1_3_12_gross_exposure,mf_1_3_12_turnover,mf_1_3_12_transaction_cost,mf_1_6_12_gross_return,mf_1_6_12_net_return,mf_1_6_12_cash_collateral_return,mf_1_6_12_portfolio_vol_scalar,mf_1_6_12_gross_exposure,mf_1_6_12_turnover,mf_1_6_12_transaction_cost,active_equity,active_bond,active_commodity,active_currency,active_sectors
1926-03,-0.0268286465169,-0.0287323074481,0.00327373971032,1.66793131727,3.99357417628,3.99357417628,0.00119807225288,-0.037983741379,-0.0399544987791,0.00327373971032,1.72150376553,4.21722907266,4.21722907266,0.0012651687218,-0.0360808463377,-0.038130958063,0.00327373971032,1.96587086893,4.48174348983,4.48174348983,0.00134452304695,-0.0252871532824,-0.0272823184184,0.00327373971032,1.73822200028,4.29858819202,4.29858819202,0.00128957645761,-0.0432175335195,-0.0453749944785,0.00327373971032,2.18954449921,4.83957426919,4.83957426919,0.00145187228076,-0.043691747209,-0.0459464841562,0.00327373971032,2.33302428515,5.16382756298,5.16382756298,0.00154914826889,1,1,4,0,3
1926-04,0.0106675816655,0.00959769815636,0.00327373971032,1.66717844199,3.33592364015,1.21431610262,0.000364294830786,0.00254191423787,0.00179209014589,0.00327373971032,1.67941771334,4.14552750118,0.147451378806,4.42354136419e-05,-0.00890402574807,-0.00969100396532,0.00327373971032,1.89488496613,4.38967007829,0.271298463038,8.13895389113e-05,-0.00962839483664,-0.0104033844237,0.00327373971032,1.69169588379,4.24043845803,0.231336362543,6.9400908763e-05,0.00101653964084,0.00010858543019,0.00327373971032,2.08741621719,4.36496146981,0.674551774358,0.000202365532308,-0.00390387244295,-0.00484443499498,0.00327373971032,2.20346306389,4.55342570177,0.783246245642,0.000234973873693,1,1,4,0,3
1926-05,-0.0110774385168,-0.0139033620406,0.00327373971032,1.6984096242,4.10464582045,7.06778281821,0.00212033484546,0.00634322982613,0.00519174018309,0.00327373971032,1.71392872411,4.26681475017,1.48633654902,0.000445900964706,0.00691996215672,0.00618478646538,0.00327373971032,1.91525180797,4.46521550585,0.0986233766609,2.95870129983e-05,0.00948226357217,0.00875971420622,0.00327373971032,1.69656737345,4.27206803131,0.0565356253706,1.69606876112e-05,9.59446250328e-05,-0.00161514078056,0.00327373971032,2.12732282249,1.92902305645,3.35165575753,0.00100549672726,0.000400272696419,-0.00116655334934,0.00327373971032,2.23563761868,1.91931948971,2.87079122474,0.000861237367423,1,1,4,0,3
1926-06,-0.0283009481195,-0.0311509722575,0.00327373971032,1.72510377883,4.18748090597,7.14811819897,0.00214443545969,-0.0111381817082,-0.0119430074442,0.00327373971032,1.74768786915,4.37724237049,0.330790192107,9.92370576322e-05,-0.0325592940836,-0.0337047366031,0.00327373971032,1.95255169085,4.57887085153,1.46617947056,0.000439853841168,0.0183591874726,0.0175649859004,0.00327373971032,1.72810288801,4.38121528764,0.29537631293,8.86128938789e-05,-0.0098371573791,-0.0114753904105,0.00327373971032,2.1657936285,4.45543054202,3.10881451036,0.000932644353108,-0.0188899531942,-0.0206962382921,0.00327373971032,2.27361589118,4.72607501869,3.66898806513,0.00110069641954,1,1,4,0,3
1926-07,0.0104202349114,0.00932934705895,0.00327373971032,1.72408885597,4.22047704877,1.28433058052,0.000385299174156,-0.0201995811803,-0.0209355791505,0.00327373971032,1.77166375414,4.47860667673,0.101364306242,3.04092918726e-05,-0.0318097541855,-0.0325337435006,0.00327373971032,1.91230799933,4.52801134346,0.0613354560903,1.84006368271e-05,0.00501567925718,0.00421904272666,0.00327373971032,1.76091136454,4.49348897718,0.303492840581,9.10478521742e-05,-0.00293763838761,-0.00385338942304,0.00327373971032,2.19091016054,4.61714792823,0.70054119031,0.000210162357093,-0.00736902367852,-0.00828221010426,0.00327373971032,2.27214747436,4.65559312508,0.691992491343,0.000207597747403,1,1,4,0,3
1926-08,0.0265187629557,0.0237500835654,0.00327373971032,1.75212030746,4.08088962691,6.87696903982,0.00206309071195,0.00930825066319,0.00827022682782,0.00327373971032,1.7824941961,4.53470303566,1.1081171901,0.00033243515703,-0.0229789492528,-0.0237727315214,0.00327373971032,1.88172427525,4.50518197703,0.293978634444,8.81935903331e-05,0.00999427834488,0.00925757846666,0.00327373971032,1.78776997695,4.59547417407,0.103703999611,3.11111998833e-05,0.0199533360348,0.0182910403089,0.00327373971032,2.22559929467,2.53674235911,3.18902349203,0.00095670704761,0.00568920631404,0.00411794445806,0.00327373971032,2.29904018393,2.11646115441,2.88557725881,0.000865673177643,1,1,4,0,3
1926-09,0.0135726665799,0.0126501315342,0.00327373971032,1.7595091567,4.35312305914,0.723154557906,0.000216946367372,0.0122739170086,0.0113537950405,0.00327373971032,1.81252913386,4.61044630489,0.715110965799,0.00021453328974,0.00180321570421,0.00108818967739,0.00327373971032,1.87937258702,4.50423285835,0.0314578282831,9.43734848493e-06,0.0145055605426,0.0137130185468,0.00327373971032,1.81769353846,4.66142090301,0.28984439183,8.6953317549e-05,0.0171337167338,0.0162005715051,0.00327373971032,2.25785062548,2.48520233266,0.758521834559,0.000227556550368,0.0124352337138,0.0115921584151,0.00327373971032,2.33903146536,2.07194424914,0.458288734633,0.00013748662039,1,1,4,0,3
1926-10,-0.028431638782,-0.0292375388896,0.00327373971032,1.78462338309,4.42981029406,0.334371430941,0.000100311429282,-0.0246731519992,-0.027514332621,0.00327373971032,1.84046428882,4.69484954031,7.1186398114,0.00213559194342,-0.0258891603773,-0.0291611070675,0.00327373971032,1.91065982878,4.60610033031,8.55452670616,0.00256635801185,-0.00214555319356,-0.00287729324541,0.00327373971032,1.848578168,4.74859214805,0.0871712450454,2.61513735136e-05,-0.0254673960617,-0.0269978237789,0.00327373971032,2.29266964176,2.41117286892,2.74946346298,0.000824839038893,-0.0269697162645,-0.0287657676061,0.00327373971032,2.37860729674,2.4999109313,3.63487554406,0.00109046266322,1,1,4,0,3
1926-11,0.00576996469548,0.00483900244177,0.00327373971032,1.78241575016,4.18785455635,0.751245251245,0.000225373575374,-0.0165995105054,-0.0173176709363,0.00327373971032,1.84306030083,4.71577673882,0.0419058417359,1.25717525208e-05,-0.0180764396438,-0.018794762088,0.00327373971032,1.90438318288,4.61378099049,0.0424458863659,1.27337659098e-05,0.0455377854717,0.0448006602412,0.00327373971032,1.86611077365,4.81828884935,0.105121840738,3.15365522213e-05,0.0149467738212,0.0141317143813,0.00327373971032,2.28076181035,2.40204492051,0.364902538678,0.000109470761603,0.0156259410522,0.0148036756857,0.00327373971032,2.35769892791,2.47882273116,0.38892229372,0.000116676688116,1,1,4,0,3
1926-12,0.018652872121,0.0154836975577,0.00327373971032,1.81021648034,4.50443297685,8.21195294989,0.00246358588497,-0.0022893229178,-0.00306519430441,0.00327373971032,1.85986478446,4.73014946246,0.234275694252,7.02827082757e-05,0.0364336097027,0.0336980364492,0.00327373971032,1.91528697292,4.61956681617,6.76661525077,0.00202998457523,0.0418542079907,0.0411417270351,0.00327373971032,1.86676290394,4.82886359059,0.0229742576237,6.89227728712e-06,0.0237759999097,0.0220391348166,0.00327373971032,2.31474619979,2.08473948716,3.43758804907,0.00103127641472,0.040154334879,0.0375974547661,0.00327373971032,2.39315927224,4.78834105779,6.1709714486,0.00185129143458,1,1,4,0,3
