month,cpi
2015-09,829.0036980850612
2015-10,828.6309085929722
2015-11,826.8819335927045
2015-12,824.0563982835071
2016-01,825.4186477359068
2016-02,826.0980304551342
2016-03,829.6552086927306
2016-04,833.5886604363606
2016-05,836.9611859348848
2016-06,839.7100729372976
2016-07,838.3513074988425
2016-08,839.1212745806337
2016-09,841.1385186546477
2016-10,842.1872068520194
2016-11,840.8772176087909
2016-12,841.1524547104267
2017-01,846.0544623306989
2017-02,848.7162489844928
2017-03,849.4060837455545
2017-04,851.9250258276135
2017-05,852.6531847420675
2017-06,853.4266358378035
2017-07,852.8378374811397
2017-08,855.3916197026462
2017-09,859.9208378308293
2017-10,859.3773316554474
2017-11,859.398235739116
2017-12,858.8930537171262
2018-01,863.572084444934
2018-02,867.4881161188404
2018-03,869.4496159697381
2018-04,872.9057578029365
2018-05,876.5361003333727
2018-06,877.93318992522
2018-07,877.9924181622808
2018-08,878.4801801145467
2018-09,879.5009962003603
2018-10,881.0548664197216
2018-11,878.1039066085131
2018-12,875.2992753829842
2019-01,876.9681180625224
2019-02,880.6751088997433
2019-03,885.6433127849659
2019-04,890.332795554608
2019-05,892.2280991405554
2019-06,892.405783851738
2019-07,893.8969418200938
2019-08,893.851649638812
2019-09,894.5519364417081
2019-10,896.59705262728
2019-11,896.1162587029037
2019-12,895.3009994398305
2020-01,898.7745613427528
2020-02,901.2377592016956
2020-03,899.2762593507977
2020-04,893.2628512821482
2020-05,893.280271351872
2020-06,898.1683429163652
2020-07,902.7114971003275
